file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\ExamCounter\src\ButtonOperations.java,ButtonOperations,class,0,2,2,0,2,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame,class,8,15,7,8,26,6,0,60,29,0.8484849,0.0,0.0,11,1,2,9,0,0,2,0,0,0,9,0,0,7,0,2,0,0,14,177,2,2,2,3,2,22,55,20,0,19,3,5,0,0,87,1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous10,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous5,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\projects\ExamCounter\src\Data.java,Data,class,1,5,4,1,8,1,0,0,0,0.5,0.53333336,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,27,6,0,0,0,0,0,3,5,0,3,2,0,0,0,12,1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous7,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous3,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,class,8,19,11,8,42,6,0,106,210,0.9221053,0.0,0.0,25,1,2,23,0,0,2,0,0,0,19,0,0,14,0,5,0,0,18,311,3,3,3,1,5,31,117,36,1,33,3,10,0,0,120,1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame$Anonymous9,anonymous,1,1,0,1,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\projects\ExamCounter\src\DatabaseOperations.java,DatabaseOperations,class,2,5,3,2,16,1,0,17,0,0.6666667,0.71428573,0.71428573,7,1,7,0,0,0,7,0,0,0,6,0,0,3,0,3,0,0,7,90,2,1,0,7,0,15,4,24,2,18,2,0,0,0,64,1,0
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous1,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\projects\ExamCounter\src\AddExamFrame.java,AddExamFrame$Anonymous3,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
